location.place,location.region,location.country,location.lat,location.lon,current.last_updated_epoch,current.temp_c,current.is_day,current.wind_mph,current.wind_degree,current.pressure_mb,current.precip_mm,current.humidity,current.cloud,current.feelslike_c
Mumbai,Maharashtra,India,18.98,72.83,1629643500,28,0,4.3,220,1007,0.3,84,50,31.6
Chennai,Tamil Nadu,India,13.08,80.28,1629643500,29,0,6.9,190,1008,0,79,50,32.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629643500,34.2,0,2.9,276,1005,0,33,46,34.8
Mumbai,Maharashtra,India,18.98,72.83,1629643500,28,0,4.3,220,1007,0.3,84,50,31.6
Chennai,Tamil Nadu,India,13.08,80.28,1629643500,29,0,6.9,190,1008,0,79,50,32.8
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629643500,34.2,0,2.9,276,1005,0,33,46,34.8
Mumbai,Maharashtra,India,18.98,72.83,1629644400,27,0,5.6,200,1008,0.3,89,50,29.8
Chennai,Tamil Nadu,India,13.08,80.28,1629644400,29,0,6.9,190,1009,0.5,79,50,33.2
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629644400,33.3,0,5.4,268,1005,0,35,55,33.9
Mumbai,Maharashtra,India,18.98,72.83,1629648000,27,0,4.3,220,1008,0.2,89,50,29.9
Chennai,Tamil Nadu,India,13.08,80.28,1629648000,29,0,8.1,180,1009,0.9,84,50,33.5
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629648000,32.5,0,7.8,259,1006,0.1,37,65,33.1
Mumbai,Maharashtra,India,18.98,72.83,1629680400,26,1,0,0,1008,0,94,50,28.9
Chennai,Tamil Nadu,India,13.08,80.28,1629680400,26,1,0,210,1009,0,89,50,28.3
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629680400,27.4,1,13.9,257,1008,0,61,54,29
Mumbai,Maharashtra,India,18.98,72.83,1629684000,27,1,5.6,110,1009,0,94,50,30.8
Chennai,Tamil Nadu,India,13.08,80.28,1629684000,27,1,0,208,1009,0,84,50,30
Anantapuramu,Andhra Pradesh,India,14.68,77.6,1629684000,26.9,1,14.3,260,1008,0,63,45,28.4
